;2014M01;2014M02;2014M03;2014M04;2014M05;2014M06;2014M07;2014M08;2014M09;2014M10;2014M11;2014M12;2015M01;2015M02;2015M03;2015M04;2015M05;2015M06;2015M07;2015M08;2015M09;2015M10;2015M11;2015M12;2016M01;2016M02;2016M03;2016M04;2016M05;2016M06;2016M07;2016M08;2016M09;2016M10;2016M11;2016M12;2017M01;2017M02;2017M03;2017M04;2017M05;2017M06;2017M07;2017M08;2017M09;2017M10;2017M11;2017M12;2018M01;2018M02;2018M03;2018M04;2018M05;2018M06;2018M07;2018M08;2018M09;2018M10;2018M11;2018M12;2019M01;2019M02;2019M03;2019M04;2019M05;2019M06;2019M07;2019M08;2019M09;2019M10;2019M11;2019M12;2020M01;2020M02;2020M03;2020M04;2021M01;2021M02;2021M03;2021M04;2021M05;2021M06;2021M07;2021M08;2021M09;2021M10;2021M11;2021M12;2014M01-I;2014M02-I;2014M03-I;2014M04-I;2014M05-I;2014M06-I;2014M07-I;2014M08-I;2014M09-I;2014M10-I;2014M11-I;2014M12-I;2015M01-I;2015M02-I;2015M03-I;2015M04-I;2015M05-I;2015M06-I;2015M07-I;2015M08-I;2015M09-I;2015M10-I;2015M11-I;2015M12-I;2016M01-I;2016M02-I;2016M03-I;2016M04-I;2016M05-I;2016M06-I;2016M07-I;2016M08-I;2016M09-I;2016M10-I;2016M11-I;2016M12-I;2017M01-I;2017M02-I;2017M03-I;2017M04-I;2017M05-I;2017M06-I;2017M07-I;2017M08-I;2017M09-I;2017M10-I;2017M11-I;2017M12-I;2018M01-I;2018M02-I;2018M03-I;2018M04-I;2018M05-I;2018M06-I;2018M07-I;2018M08-I;2018M09-I;2018M10-I;2018M11-I;2018M12-I;2019M01-I;2019M02-I;2019M03-I;2019M04-I;2019M05-I;2019M06-I;2019M07-I;2019M08-I;2019M09-I;2019M10-I;2019M11-I;2019M12-I;2020M01-I;2020M02-I;2020M03-I;2020M04-I
France;60154,89;56206,36;60435,07;58783,90;57544,65;59772,80;60691,93;47022,08;57964,03;58851,79;53813,81;51972,38;49444,86;48451,11;50122,19;47613,50;48183,16;52909,14;50109,40;39277,75;50756,81;52633,84;48142,85;46615,32;45026,00;47259,26;51151,91;50662,05;48683,64;51615,63;47147,95;41879,32;51408,41;49109,29;50956,92;47445,70;49703,49;47730,60;54643,48;48104,68;53453,18;54342,88;51397,55;46760,02;57091,35;58409,96;59442,39;53540,25;58282,38;56631,93;62447,87;59396,66;57720,77;61793,37;57283,22;48805,54;56708,03;60856,73;58715,55;51954,05;58284,28;54498,84;60774,32;56462,97;57898,97;52864,05;57400,85;45820,46;55263,66;60714,86;55813,46;51411,24;55885,60;52052,81;47562,27;32273,95;55444,58;55391,52;64892,57;60122,09;60156,65;66095,89;62375,73;53432,55;64684,28;66649,19;67856,70;67166,36;48653,55;49474,61;56804,67;53159,96;49934,88;53102,94;53437,92;42744,16;51821,20;52417,13;48649,56;48913,66;43110,13;43080,65;48005,24;43835,10;42239,50;47645,85;45319,34;36780,84;45111,62;47213,97;44180,21;45572,98;38185,53;42570,89;48071,65;45554,16;44120,91;46525,93;42688,85;39218,94;45079,14;45266,05;43680,78;45042,70;42009,25;42762,15;48973,45;42147,12;47168,71;49270,10;46887,73;43190,27;50163,78;52635,28;53108,23;50985,83;48592,06;49204,28;54546,81;52879,83;49753,70;52623,21;52666,28;43381,85;47568,07;54674,09;51978,47;50722,74;50508,32;48321,06;55061,30;51103,55;53744,88;50224,29;52284,37;42412,82;49003,36;54649,45;50332,84;50070,57;45050,70;45386,68;44178,00;30727,46
Germany;100479,24;97617,49;106901,14;102776,84;102162,47;99303,53;104057,01;88970,45;101372,02;101927,22;95332,55;85565,26;86232,72;85874,34;91533,06;85357,65;84324,72;90838,89;89606,29;78289,43;90450,29;92500,42;86840,09;79568,36;80432,18;84675,50;89647,02;88125,19;85255,71;91607,50;83475,74;83871,91;91056,45;87935,13;91230,82;82195,66;87894,30;85325,26;101489,77;84886,97;96472,23;95244,35;93016,20;94799,29;101851,39;101765,89;106109,30;93543,09;106910,03;102292,96;113066,98;106787,16;105275,73;108032,04;104030,60;99514,99;105547,35;111727,19;109422,71;91653,30;108333,93;100687,44;109257,07;101689,36;106889,29;98427,08;104277,47;92132,03;100862,92;107379,62;101188,03;91795,12;101294,17;94214,32;100798,03;75165,77;105688,66;108474,75;128365,95;120635,31;118653,34;126857,52;117983,65;112619,82;124200,79;129292,10;133661,46;124820,53;116527,28;117666,50;131552,51;128073,46;126968,35;122967,55;129678,43;113249,88;128156,29;127035,94;118330,19;115630,91;102972,34;103960,61;117194,55;108992,04;105267,26;115552,98;114109,58;99946,46;113685,69;115748,41;109715,83;106119,98;93426,24;104237,43;115883,65;112768,21;110149,94;116189,51;103835,63;106125,45;114261,11;108623,88;113561,24;105221,27;100199,38;103820,97;123031,96;104609,18;119369,25;119333,76;114450,45;118775,12;126220,09;125599,22;129916,13;120387,56;126807,06;122461,89;139827,47;131190,58;129708,32;129391,38;126925,17;118244,98;122322,07;131394,23;128197,57;113521,09;121097,23;116497,57;129679,59;123703,72;127759,40;113584,27;125834,86;113523,80;122410,32;126475,71;121044,67;114851,70;113094,80;111021,76;118744,76;85651,57
Greece;5690,42;4756,88;5113,66;5112,61;5495,21;5118,97;5684,14;4420,76;5388,11;5491,35;4739,13;4612,00;4054,27;3976,02;4294,75;4016,52;4042,36;4802,43;3617,63;3158,61;4301,56;4207,46;3968,50;3845,28;3601,36;3952,82;4164,24;4309,26;4215,11;4117,66;4123,72;3541,56;4533,21;4331,34;4334,84;4417,88;4521,74;4251,58;4780,90;4173,36;4660,26;4697,75;4596,87;4410,45;4847,06;4957,36;4913,85;5030,22;5709,63;5106,21;5795,27;5624,86;5555,98;6195,06;5509,89;5003,33;5404,51;5813,26;5742,96;5070,77;5905,04;5216,65;5781,57;5267,65;5807,41;5775,92;5979,50;5158,32;5427,82;5980,90;5347,07;5148,78;5713,25;4602,85;4868,55;3331,91;5276,82;5517,27;6608,72;6326,58;6527,83;6942,31;7478,57;6310,86;7366,32;7450,97;7973,17;8163,82;2490,58;2602,99;2786,46;2804,15;2861,93;2661,20;3223,64;2598,82;2811,69;2830,59;2594,43;2679,82;2172,83;2075,02;2395,56;2095,15;2266,51;2302,97;2273,00;1927,68;2054,07;2282,16;2137,08;2152,46;1887,87;1921,32;2207,87;2130,53;2047,09;2197,34;2114,86;2080,01;2247,92;2280,40;2316,37;2253,01;2199,23;2162,46;2422,35;2305,24;2531,02;2392,51;2568,39;2326,72;2416,60;2620,55;2789,94;2969,85;2948,15;2732,45;3103,18;2766,81;3355,06;3228,48;3018,40;2643,85;3000,60;3124,20;3010,19;2878,79;2812,23;2431,80;2952,04;3109,09;3044,52;2773,47;3117,89;2364,67;2711,86;2908,82;2747,41;2916,69;2788,83;2579,15;2619,18;2148,58
Ireland;6680,26;5824,63;6803,99;6364,47;6702,35;6572,99;6332,22;5842,89;6181,18;6688,41;6315,44;6509,75;6224,61;5742,54;6146,93;5496,52;5414,92;5981,27;5788,24;5270,13;6275,92;6732,34;6176,55;6294,34;5546,16;5915,65;6069,84;5889,30;6014,84;5814,93;5253,78;5832,89;6372,57;5901,80;6624,25;5854,45;5522,57;5322,88;6354,38;6081,83;6559,56;6581,69;5663,16;6401,50;6797,96;7009,87;7513,11;7386,00;7462,03;7270,52;7975,47;7096,93;7644,28;8014,31;7247,34;7796,00;7985,27;7797,65;7510,06;6668,67;6809,32;6653,13;7852,78;6739,80;6716,52;6412,75;6653,71;6306,40;6533,31;7609,59;6987,33;6721,70;7221,64;6517,58;6710,84;5187,15;6657,47;7234,39;8579,86;8426,35;8500,78;9932,14;8648,05;7715,08;9385,20;9498,31;10037,80;10343,50;11063,67;10946,10;12268,84;12427,82;12284,49;13376,57;11852,99;11945,58;12769,07;12544,77;11684,49;13615,18;11684,93;11563,07;12473,74;13428,88;12195,81;14018,95;12673,23;12673,79;12493,68;14612,09;15885,67;14173,15;11680,56;13381,34;13123,33;13267,96;12882,50;13968,16;13027,29;13886,29;13636,51;14617,83;15785,97;13591,22;13018,57;13607,18;14654,16;13760,49;14887,13;14830,19;13463,77;14032,53;14584,15;14781,98;15245,51;16561,06;17072,19;15673,95;16852,43;16311,21;16269,49;16744,37;16879,50;16815,67;16337,21;17305,03;17900,72;16727,37;18550,16;15919,83;17113,08;17674,59;18134,30;17532,23;18171,31;15754,15;16633,52;20021,33;17435,35;16746,71;18936,16;15977,34;20694,54;16063,10
Italy;44678,64;41512,14;45379,64;44294,76;45764,84;43978,59;45315,05;34369,40;44063,95;43164,79;40686,51;36527,34;36899,72;35191,30;37396,66;36320,19;36924,55;38976,24;37112,45;27922,30;37137,79;36537,87;34449,99;32976,69;32643,32;34070,05;36144,18;35888,30;35788,53;37610,67;35357,59;30457,48;36996,33;36027,49;37066,52;33275,58;36000,00;36103,58;41244,61;34978,11;40769,59;40390,89;39305,65;32516,94;41106,46;42022,49;43347,00;39428,72;44135,47;43252,23;46921,63;44583,96;45699,44;45483,40;44156,77;36593,32;44480,54;48144,15;44734,45;38558,74;43685,60;40701,53;44734,67;41378,87;44833,02;41215,65;42866,36;33850,24;42028,37;43234,30;41443,81;38268,17;41549,92;38660,20;35623,26;26369,09;42542,08;42866,95;49961,10;47399,76;48604,58;51937,53;51349,60;41673,19;51890,23;55753,48;55917,02;53415,81;40310,59;41708,25;47094,64;44887,22;45100,39;45653,11;49532,99;37669,60;42850,13;45455,78;41436,82;42386,88;34817,92;35956,05;40300,51;38089,94;39050,53;41439,06;42830,51;32662,16;38154,67;40408,40;38831,31;38494,06;32628,99;36672,08;40682,55;38569,75;41223,52;41596,66;39809,91;35787,65;38460,39;39213,01;40346,11;38758,22;34974,66;37137,85;43618,03;38501,52;44404,63;44112,36;45349,82;39951,00;43035,89;46339,74;47173,02;45375,91;44069,87;44979,07;49381,50;46854,93;49378,45;47529,97;49536,99;41402,20;43357,26;49235,16;46127,45;43775,30;42465,63;41940,98;47268,41;44818,78;48303,01;45824,64;51200,31;39021,72;44025,63;47878,34;45262,41;44487,56;40687,09;41685,82;41959,06;28929,11
Latvia;2597,43;2500,06;3135,02;3121,56;2828,64;2991,75;2993,08;2842,31;2605,23;2491,12;1891,26;2071,07;1998,69;1766,17;2066,44;2088,36;1976,55;2078,05;2054,88;1866,17;1804,59;1833,79;1697,36;1523,57;1435,43;1529,79;1812,87;1831,77;1709,13;1714,78;1628,44;1633,97;1597,42;1527,76;1776,32;1975,04;1622,19;1711,33;2097,36;1704,65;1744,12;1955,19;1795,10;1919,62;1902,55;1868,52;1888,00;1827,87;1822,66;1897,69;2021,03;1882,57;1919,26;2121,33;2157,91;2116,38;2176,42;2049,18;2025,20;1694,98;1804,94;1742,85;2022,88;1896,66;2065,69;2142,48;1918,38;1932,52;1998,02;2014,52;1960,34;1923,52;1774,81;1743,99;1903,03;1365,93;1781,42;1867,27;2156,54;2108,10;2240,26;2183,03;2331,53;2431,14;2476,50;2397,04;2352,45;2435,75;1099,20;1029,49;1239,06;1230,59;1172,78;1092,31;1380,27;1097,25;1214,81;1232,85;1079,44;984,70;851,02;874,70;1054,69;961,20;961,96;998,74;927,09;926,11;1017,92;1097,01;966,53;864,95;833,99;942,97;1017,08;993,28;955,15;982,37;940,26;921,22;1096,23;1047,19;1056,32;970,09;933,94;869,13;1012,45;931,02;1068,70;1042,62;994,75;1119,48;1177,70;1232,50;1254,78;1175,28;1256,22;1255,00;1233,24;1325,52;1338,64;1488,51;1207,28;1362,22;1352,55;1400,30;1426,58;1160,55;1145,54;1242,72;1304,74;1299,86;1264,96;1159,24;1229,95;1233,46;1244,49;1264,66;1281,29;1110,21;1217,96;1251,86;1211,33;1044,26
Lithuania;2379,47;2156,13;2720,02;2578,02;2554,21;2576,65;2687,51;2514,25;2703,67;2683,51;2481,47;2430,05;1940,30;1842,03;2333,16;1981,63;2099,98;2353,08;2030,08;1939,88;2231,67;2248,29;2099,04;2138,90;1669,82;1967,15;2190,69;2212,84;2104,70;2245,69;1965,84;2091,48;2345,02;2304,12;2219,88;2228,72;1910,80;2077,86;2615,61;2119,23;2439,06;2632,96;2429,55;2527,75;2831,40;2896,44;2830,72;2697,33;2835,51;2733,62;3029,17;2993,99;2796,23;2931,36;2766,41;2827,77;2881,60;3104,57;2919,85;2796,82;2663,84;2642,18;2878,76;2690,55;2777,93;2715,49;2822,22;2731,88;2767,90;2951,20;2689,69;2746,20;2535,69;2426,04;2560,69;1993,51;2872,74;2896,35;3531,65;3359,70;3293,76;3898,49;3646,70;3388,55;3740,81;3720,88;3759,75;4138,24;1913,52;1939,32;2219,35;2110,92;2019,39;2197,09;2065,32;2140,79;2232,05;2153,44;1922,62;2057,91;1503,47;1535,53;1927,30;1634,37;1770,18;2009,34;1747,28;1782,32;1903,91;1903,38;1696,72;1954,80;1433,10;1656,08;1831,20;1758,46;1820,25;1963,20;1732,69;1754,44;1981,71;1878,65;1880,31;2090,92;1675,65;1778,61;2240,53;1764,22;2103,09;2303,54;2008,96;2123,27;2437,83;2362,32;2441,82;2659,66;2430,73;2173,50;2883,51;2372,05;2464,97;2866,34;2295,93;2388,53;2804,54;2465,80;2542,25;2642,05;2324,20;2189,57;2771,53;2267,27;2400,93;2752,60;2521,15;2188,23;2849,32;2494,72;2537,16;2767,39;2233,61;2069,68;2324,50;1860,70
Luxembourg;2326,86;2757,91;2274,92;2321,25;2950,72;2230,93;2428,34;1822,20;2542,06;2448,41;2341,02;2159,38;1851,44;1957,23;2368,14;2032,71;1871,43;2079,16;1996,59;1528,39;2152,26;2110,44;1988,66;1840,81;1624,79;1776,11;2163,70;1932,78;1903,76;1934,62;1762,76;1612,64;2122,10;1950,86;1902,83;1758,56;1910,28;1775,18;2090,23;1980,66;2002,74;2213,94;1975,17;1832,98;2109,13;2203,37;2366,48;2140,52;2397,19;2426,25;2502,60;2262,19;2296,20;2580,60;2357,15;2069,55;2219,94;2368,55;2283,20;2182,22;2525,50;2407,66;2579,80;2611,00;2487,10;2162,54;2240,82;1943,23;2143,73;2279,31;2497,97;2209,32;2124,08;2216,64;1953,35;1511,30;2306,01;2344,98;2780,39;2545,12;2676,73;2676,14;2759,45;2288,16;2631,61;3369,91;2883,43;2717,90;1781,69;1726,70;1904,37;1875,34;1910,93;1795,69;2142,94;1599,33;1869,79;1857,30;1791,59;1738,31;1682,53;1488,30;1700,30;1569,26;1626,26;1801,60;1712,92;1571,09;1638,83;1809,54;1694,52;1562,20;1481,20;1632,27;1701,68;1641,91;1621,67;1722,96;1594,57;1494,53;1593,06;1515,44;1540,69;1386,18;1663,98;1422,42;1596,81;1480,87;1607,06;1605,92;1588,92;1497,64;1704,53;1841,61;1772,88;1493,16;1680,98;1760,19;1946,64;1859,37;1811,78;1754,09;1833,28;1596,81;1708,93;1758,00;1673,92;1515,75;1896,29;1751,80;1992,60;1752,38;1583,53;1599,77;1575,25;1382,18;1526,55;1600,10;1579,63;1380,95;1394,61;1451,57;1493,36;1171,25
Malta;1567,62;918,99;1851,51;1409,67;1691,91;1856,29;1941,40;1619,25;1354,80;2020,77;1672,01;1706,95;1348,72;1211,63;1557,60;1644,84;1631,80;1657,84;1356,28;1459,61;1886,06;1722,50;1281,89;1722,71;1235,13;1061,07;1239,11;1125,05;1245,75;1428,64;1167,38;1075,86;1059,51;1094,76;1141,63;1115,21;1380,57;970,19;1431,26;1373,62;1270,72;1659,96;1309,94;1251,68;1439,30;1365,42;1435,84;1260,25;1822,93;1527,04;1667,19;1916,59;1778,60;2012,26;1659,43;1404,32;1338,38;1548,81;1441,70;1217,61;1380,57;1513,42;2216,27;1740,92;1585,91;1318,63;1738,12;1484,11;1734,14;1453,71;1061,14;1371,74;1430,19;1019,89;1585,22;896,74;1163,28;1380,73;1670,55;1821,89;1681,48;1693,43;2074,16;1750,95;2369,47;1626,85;1813,99;1668,10;437,23;455,00;459,78;508,86;491,27;544,28;509,01;584,40;706,49;636,00;529,17;532,40;494,54;414,10;476,66;451,20;473,39;635,56;467,03;357,95;474,32;455,13;455,59;522,17;423,74;344,44;1067,16;425,84;471,35;511,29;631,03;500,79;452,56;403,14;391,91;481,05;344,49;409,69;488,84;407,33;492,08;484,23;421,43;396,72;394,94;412,52;393,69;344,85;536,15;327,19;482,00;408,51;442,09;461,05;486,97;434,48;414,23;465,86;412,87;362,67;507,43;340,97;404,73;481,10;406,73;423,58;438,31;329,36;451,40;421,33;418,12;390,45;400,23;484,20;387,41;300,57
Netherlands, The;55382,63;49602,12;57730,83;54604,23;55873,31;54712,67;58206,20;53148,13;52631,97;53155,10;50265,83;49267,87;43625,07;42588,79;45461,26;43385,65;44255,61;46727,38;44999,16;41523,08;44390,19;45164,67;42535,14;43537,29;37787,64;39073,22;42442,09;42089,22;40784,01;43811,55;43351,24;40803,90;43388,13;42051,10;44480,03;44976,88;42387,04;42836,17;49117,49;43639,33;46791,57;47675,55;46092,72;47995,24;49603,90;51704,66;53271,82;52331,90;54669,15;53610,13;57264,93;54736,23;54525,93;55966,86;54540,26;53482,74;53848,46;60943,01;59285,18;52342,56;55496,26;50272,51;56115,26;53478,62;54560,03;52066,77;52490,44;48582,43;54171,35;55075,90;52548,22;51661,65;50539,34;47389,72;48530,87;41622,06;51310,74;53796,69;63746,75;59146,05;59612,61;64630,71;60861,46;59879,44;64858,50;68078,31;69613,33;69438,55;52182,67;49714,11;54064,05;53110,78;51801,12;51835,34;51461,71;45642,12;51653,54;52401,83;48753,67;47722,71;41634,83;41984,30;44774,16;41330,69;42135,37;45327,25;42876,21;38372,34;43625,50;44229,06;43316,88;41501,47;37627,57;39598,17;43373,56;40929,95;41278,00;44098,96;40069,00;43538,44;44217,98;43662,98;45014,82;44053,21;42689,36;42772,12;48134,65;42449,38;46763,08;46067,32;45245,97;47118,27;50575,62;52033,96;54608,51;52413,92;54307,06;51227,17;57425,62;51680,96;53885,78;52697,19;51728,94;51162,63;52559,37;57206,96;55857,49;50217,99;50082,25;49774,87;55187,53;51011,85;52139,55;49617,32;50409,28;47756,82;50750,11;54818,49;53194,72;49528,84;49945,17;47480,92;50182,45;39591,29
Portugal;6636,64;6027,94;6682,84;6665,73;6909,19;6788,25;6936,75;5645,93;6547,06;6743,98;6196,59;5834,07;5584,85;5298,51;5812,30;5631,13;5913,39;6212,75;5879,08;4894,91;5924,24;5797,12;5417,11;5092,75;5038,25;5378,24;5845,05;5724,47;5866,69;6242,64;5607,51;5147,75;6239,45;5630,32;6035,43;5510,25;5911,59;5553,71;6737,85;5700,99;7091,72;6613,43;6363,56;6264,25;7221,40;7014,42;7312,72;6770,73;7627,84;6863,30;7886,85;7539,65;7603,81;7640,22;7532,55;6494,21;7038,07;7661,08;7630,40;6484,53;7854,20;6851,64;7699,23;7599,77;7831,78;7614,94;7789,09;6386,20;7558,74;7891,25;7482,91;6454,95;7397,66;6795,18;6935,55;4342,11;6955,66;7151,29;8551,45;8185,60;8359,08;8554,72;8641,85;7518,97;8944,34;9439,80;9601,41;8865,68;5170,49;4928,13;5559,54;5327,14;5600,55;5797,21;5734,82;4710,70;5213,37;5700,97;5029,94;5171,23;4781,41;4395,25;4862,86;4445,23;4726,40;4888,23;5033,98;4112,91;4688,40;4801,65;4593,87;4236,62;3944,58;4346,64;4686,41;4637,21;4743,69;4963,50;4660,94;4233,68;4881,14;4735,81;4946,76;4473,41;4660,08;4595,81;5275,25;4424,74;5106,84;5290,98;5087,27;4880,67;5364,13;5350,96;5693,92;4897,83;5405,62;5343,36;5884,73;5775,84;5849,07;5734,93;5967,61;5173,91;5258,19;5708,36;5499,41;4930,30;5556,04;5445,60;5744,39;5239,79;5851,53;5387,81;5856,33;4582,28;5101,69;5817,34;5497,08;5263,00;5353,78;5210,98;5218,58;3480,66
Slovak Rep.;6699,63;6668,21;7472,35;7199,84;6880,37;6761,73;6672,83;5992,92;6989,13;7283,07;6732,24;5746,78;5837,29;5709,09;6296,80;5853,88;5935,38;6313,43;6150,42;5551,26;6911,54;7072,60;6348,53;5421,35;5463,49;5964,65;6160,76;6128,86;6202,55;6341,88;5125,97;6019,15;6373,57;6435,04;6415,61;5411,90;5650,35;5823,58;6757,62;5901,56;6559,08;6499,06;6010,17;6745,15;7194,62;7596,40;7450,69;5938,54;6930,85;7028,37;7708,08;7279,44;7439,10;7394,37;6673,99;7046,74;7541,70;8237,35;7900,25;6095,83;7224,16;7094,09;7769,89;7155,40;7407,31;6818,17;6845,36;6666,44;7387,90;8111,88;7403,93;5954,50;7209,00;6998,47;6753,36;4095,53;7500,09;7782,49;9129,78;8257,80;8160,31;8874,15;7823,55;7683,91;8618,24;8839,83;9657,99;8526,52;6546,55;6671,20;7207,81;7104,04;7073,98;6950,37;6765,32;5881,75;6868,69;7445,60;6898,43;5983,96;5461,29;5660,58;6125,58;5967,83;5653,23;6375,80;6112,13;5112,06;6313,87;6702,22;6739,99;5553,80;5320,28;5902,45;6215,90;6491,43;6451,42;6557,13;5568,02;5861,99;6726,05;6906,29;7135,77;5982,04;5676,54;6011,13;7186,83;6352,99;6829,79;6893,25;6372,72;6516,88;7376,60;8092,40;8226,41;6377,27;7049,07;7088,87;8290,38;7681,14;8123,47;7601,34;8187,39;7139,63;7971,21;9039,40;8738,78;7211,12;7989,69;7443,78;8321,11;7883,92;8059,89;7858,35;7350,59;6690,42;7964,02;8518,90;8107,83;6929,32;7066,22;7036,65;6961,63;4134,46
Slovenia, Rep. of;2632,47;2512,32;2888,52;2865,55;2768,88;2667,70;3016,76;2443,63;2923,42;2923,83;2553,67;2498,45;2434,00;2321,63;2560,87;2415,63;2449,21;2582,23;2579,23;2141,88;2646,01;2649,71;2497,60;2386,94;2310,88;2411,97;2644,75;2712,50;2697,33;2734,39;2510,60;2430,74;2881,24;2651,70;2681,35;2570,15;2655,13;2546,54;3152,96;2739,55;3064,64;3203,77;2985,99;2875,76;3263,60;3346,88;3519,86;3142,50;3571,86;3511,60;3744,76;3437,30;3723,07;3749,48;3817,37;3143,54;3496,59;3743,08;3705,21;3160,22;3636,64;3331,74;3817,63;3879,77;3875,35;3525,77;3767,70;3071,77;3726,42;3889,06;3616,52;3368,83;3537,88;3333,01;3500,93;2384,93;3715,53;3736,69;4577,42;4247,26;4545,16;4815,98;5002,58;4375,26;5184,93;5234,35;5433,22;5002,78;2581,91;2620,07;2941,68;2910,94;2704,26;2788,38;2945,04;2338,40;2951,72;2979,34;2613,33;2546,72;2161,50;2294,60;2503,39;2295,45;2340,83;2558,71;2538,72;1956,80;2579,83;2668,29;2459,90;2300,90;2112,65;2393,46;2638,85;2573,95;2636,33;2678,09;2514,99;2255,02;2695,78;2555,64;2502,44;2427,39;2292,69;2428,39;2882,38;2543,56;2845,14;2966,77;3002,55;2618,23;3096,44;3216,29;3135,33;2861,98;3025,60;3050,52;3453,68;3261,91;3244,93;3233,11;3354,92;2742,61;3171,01;3497,59;3323,85;2862,33;3051,52;3031,14;3389,92;3292,06;3362,38;3093,69;3397,54;2591,12;3134,52;3546,36;3147,42;2826,77;3002,61;3209,41;3074,19;2242,31
Spain;30181,18;27312,64;30025,24;29011,15;30319,57;30133,99;31056,74;25166,21;29110,37;30737,93;26854,43;26161,38;25330,70;24858,78;25464,30;24763,80;26548,02;27603,14;26904,91;21632,44;26306,63;26715,09;25599,48;23785,81;23417,72;24468,09;25756,38;26498,48;26621,17;27566,64;25175,57;22705,14;28431,83;26173,92;26925,31;24969,16;25903,74;25757,01;29317,73;25055,20;29215,29;29271,22;28521,17;25749,27;30023,35;31087,68;31232,77;28588,15;31462,68;31634,72;32948,36;32006,18;32601,71;32871,67;31990,75;27301,51;31129,97;33871,42;32496,44;28039,70;31533,35;30010,45;33081,76;31169,19;33442,21;30775,82;31696,11;26192,51;30875,72;33000,81;30197,06;28333,50;30148,40;28340,93;26979,95;18063,42;30280,86;29812,46;34790,93;33512,50;33584,70;35263,51;34748,81;31059,10;36708,69;37924,41;39786,38;36884,33;23728,19;25049,98;26976,09;26016,85;26144,77;26790,49;27243,10;20654,90;24806,74;25219,21;24034,32;23654,22;21475,26;21056,46;23472,35;22328,30;22730,84;23862,31;24269,83;18628,50;22661,44;23575,29;22775,84;22503,23;19699,93;22246,89;24078,58;23813,82;24427,05;24889,47;22610,65;19888,48;22753,63;22737,56;24526,47;22597,85;22229,59;23064,62;26935,99;22679,73;26176,94;26232,20;25289,04;22428,70;25874,13;27156,26;28790,31;25703,36;26578,88;26587,89;29871,07;28715,07;29171,44;28145,77;27446,70;23182,36;24599,97;27909,09;27385,19;25278,63;25695,54;24759,66;28349,70;27025,83;28735,79;26757,12;28704,36;22126,14;25559,80;28100,36;26997,94;25609,05;25295,22;24842,74;25296,73;17761,31
Australia;17639,40;15464,91;17503,03;17890,83;17846,57;17933,94;19237,15;18136,28;18828,56;18830,97;17405,04;16747,60;15266,73;15938,38;14811,12;15566,33;16194,51;16062,45;17306,28;15716,10;16775,88;16695,47;16048,74;15677,92;13725,05;13264,30;14472,32;14824,27;14703,50;15569,51;15545,56;15763,54;16615,65;15560,87;16099,08;15454,52;14864,44;13326,42;16913,72;15181,86;16251,80;20787,17;18951,75;17459,19;17852,76;17564,63;18667,41;18219,20;17384,33;16762,79;18271,61;18012,08;18329,34;18674,50;18098,20;18809,02;17485,34;19436,84;18923,51;17181,61;16618,67;14585,84;17243,38;16229,59;17203,30;16507,74;18254,02;16622,15;17412,14;18967,35;17127,98;17558,35;13961,15;14387,32;15872,07;13301,57;17298,35;17533,14;19994,40;19625,75;19396,86;20461,85;20189,14;20159,15;20084,62;21805,10;22104,70;23320,32;23716,76;18713,49;22338,19;22670,53;21489,94;21663,71;22646,88;20501,09;21315,12;20060,47;18328,18;20060,55;18974,72;16515,38;18020,76;17425,62;15179,95;16819,95;18292,52;15859,72;16561,67;15693,99;15333,74;16531,90;14395,90;13415,08;15406,11;16316,76;16677,78;16066,23;16918,79;17923,06;17832,89;18156,40;18764,68;20714,99;20331,80;19222,11;22661,74;21163,27;21350,40;20300,61;20432,91;20433,54;21275,38;20616,51;21628,60;20986,32;23453,19;20271,19;22958,74;21863,38;22834,82;22401,73;24410,38;24561,33;22176,89;22272,06;23922,83;20819,95;24635,87;20321,00;22745,92;23566,46;24272,05;22507,88;27137,00;26964,53;24821,45;23769,01;21716,66;24335,22;25352,47;16986,24;22636,22;22046,03
